group,model,subject,bic
19,x-aim-scale-two-state-non-neg,11,-365.8788806167321
19,y-aim-scale-two-state-non-neg,11,-366.0904828699162
19,error-scale-two-state,12,-349.06048737241423
19,retention-scale-two-state,12,-395.3050853756376
19,bias-scale-two-state,12,-382.31858464533474
19,x-aim-scale-two-state,12,-397.7808591376744
19,y-aim-scale-two-state,12,-397.7153157719017
19,error-scale-one-state,12,-53.80560659819014
19,retention-scale-one-state,12,-45.360576681287824
19,bias-scale-one-state,12,-155.2808160356837
19,x-aim-scale-one-state,12,-172.92408963720783
19,y-aim-scale-one-state,12,-172.96441705209025
19,error-scale-two-state-non-neg,12,-332.57368686209713
19,retention-scale-two-state-non-neg,12,-317.98117100401856
19,bias-scale-two-state-non-neg,12,-364.30955366785923
19,x-aim-scale-two-state-non-neg,12,-382.59338999253623
19,y-aim-scale-two-state-non-neg,12,-394.48633004501767
19,error-scale-two-state,13,-338.169452786351
19,retention-scale-two-state,13,-391.0274604067475
19,bias-scale-two-state,13,-376.99240346964064
19,x-aim-scale-two-state,13,-401.0081262067182
19,y-aim-scale-two-state,13,-400.9843600179531
19,error-scale-one-state,13,-51.42678539313451
19,retention-scale-one-state,13,-36.15615504416941
19,bias-scale-one-state,13,-145.24923029693318
19,x-aim-scale-one-state,13,-164.4758809140506
19,y-aim-scale-one-state,13,-164.44762342267603
19,error-scale-two-state-non-neg,13,-323.24951798026336
19,retention-scale-two-state-non-neg,13,-315.74887282472963
19,bias-scale-two-state-non-neg,13,-362.78478729603495
19,x-aim-scale-two-state-non-neg,13,-374.65067988861085
19,y-aim-scale-two-state-non-neg,13,-374.74160621069655
19,error-scale-two-state,14,-343.8313766144656
19,retention-scale-two-state,14,-380.7920688229615
19,bias-scale-two-state,14,-368.3638421991303
19,x-aim-scale-two-state,14,-386.637362443239
19,y-aim-scale-two-state,14,-386.6797498984439
19,error-scale-one-state,14,-61.255656700241644
19,retention-scale-one-state,14,-48.663665057326995
19,bias-scale-one-state,14,-154.47640815486122
