GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,DIR,HA_INIT,HA_MID,HA_END
16,2,Adaptation,RH,82,142,0,-21,3,1,CCW,28.54196991,28.20913701,20.51504274
16,2,Adaptation,RH,83,143,0,-24,1,1,CCW,29.99612744,29.87812052,24.51300009
16,2,Adaptation,RH,84,144,0,-35,3,1,CCW,28.93235291,28.87674007,33.56788192
16,2,Adaptation,RH,85,145,0,-31,1,1,CCW,28.38830696,28.4728501,29.95741244
16,2,Adaptation,RH,86,146,0,-30,3,1,CCW,27.44181725,27.10777711,31.28426819
16,2,Adaptation,RH,87,147,0,-29,3,3,CCW,27.88690765,27.98123452,29.10711785
16,2,Adaptation,RH,88,148,0,-42,3,1,CCW,26.86428438,26.62171494,40.10146361
16,2,Adaptation,RH,89,149,0,-27,1,3,CCW,26.71896844,26.73220645,27.1499306
16,2,Adaptation,RH,90,150,0,-29,1,1,CCW,24.30841965,24.43889083,27.43676812
16,2,Adaptation,RH,91,151,0,-32,3,3,CCW,29.58474636,29.65015836,25.97472077
16,2,Adaptation,RH,92,152,0,-35,1,1,CCW,25.49901869,25.71554539,35.38915165
16,2,Adaptation,RH,93,153,0,-29,3,3,CCW,27.66544069,27.86665611,25.76289662
16,2,Adaptation,RH,94,154,0,-34,1,3,CCW,23.36306449,23.23288294,32.25976959
16,2,Adaptation,RH,95,155,0,-34,1,3,CCW,24.18229944,24.23371068,33.99837301
16,2,Adaptation,RH,96,156,0,-31,3,3,CCW,21.89822636,21.7093508,31.28971587
16,2,Adaptation,RH,97,157,0,-25,3,1,CCW,23.03209096,22.76773326,24.33570951
16,2,Adaptation,RH,98,158,0,-33,3,1,CCW,32.39902701,32.58399219,32.92428407
16,2,Adaptation,RH,99,159,0,-30,3,1,CCW,32.24849607,32.24850604,29.57854326
16,2,Adaptation,RH,100,160,0,-36,1,1,CCW,31.19908964,31.18810586,35.58277171
16,2,Adaptation,RH,101,161,0,-27,3,3,CCW,28.57958616,28.76181162,27.06356358
